"","Territorial_Authority","Anzsoc_Division","Total_Victimisations"
"98","Horowhenua District","Robbery, Extortion and Related Offences",18
"99","Horowhenua District","Sexual Assault and Related Offences",29
"100","Horowhenua District","Theft and Related Offences",717
"101","Horowhenua District","Unlawful Entry With Intent/Burglary, Break and Enter",311
"102","Hurunui District","Acts Intended to Cause Injury",33
"103","Hurunui District","Robbery, Extortion and Related Offences",3
"104","Hurunui District","Sexual Assault and Related Offences",10
"105","Hurunui District","Theft and Related Offences",81
"106","Hurunui District","Unlawful Entry With Intent/Burglary, Break and Enter",61
"107","Invercargill City","Abduction, Harassment and Other Related Offences Against a Person",9
"108","Invercargill City","Acts Intended to Cause Injury",587
"109","Invercargill City","Robbery, Extortion and Related Offences",24
"110","Invercargill City","Sexual Assault and Related Offences",48
"111","Invercargill City","Theft and Related Offences",1014
"112","Invercargill City","Unlawful Entry With Intent/Burglary, Break and Enter",448
"113","Kaikoura District","Acts Intended to Cause Injury",26
"114","Kaikoura District","Robbery, Extortion and Related Offences",1
"115","Kaikoura District","Sexual Assault and Related Offences",3
"116","Kaikoura District","Theft and Related Offences",63
"117","Kaikoura District","Unlawful Entry With Intent/Burglary, Break and Enter",36
"118","Kaipara District","Abduction, Harassment and Other Related Offences Against a Person",1
"119","Kaipara District","Acts Intended to Cause Injury",129
"120","Kaipara District","Robbery, Extortion and Related Offences",9
"121","Kaipara District","Sexual Assault and Related Offences",15
"122","Kaipara District","Theft and Related Offences",269
"123","Kaipara District","Unlawful Entry With Intent/Burglary, Break and Enter",168
"124","Kapiti Coast District","Abduction, Harassment and Other Related Offences Against a Person",2
"125","Kapiti Coast District","Acts Intended to Cause Injury",281
"126","Kapiti Coast District","Robbery, Extortion and Related Offences",25
"127","Kapiti Coast District","Sexual Assault and Related Offences",24
"128","Kapiti Coast District","Theft and Related Offences",811
"129","Kapiti Coast District","Unlawful Entry With Intent/Burglary, Break and Enter",307
"130","Kawerau District","Acts Intended to Cause Injury",83
"131","Kawerau District","Robbery, Extortion and Related Offences",2
"132","Kawerau District","Sexual Assault and Related Offences",10
"133","Kawerau District","Theft and Related Offences",160
"134","Kawerau District","Unlawful Entry With Intent/Burglary, Break and Enter",70
"135","Lower Hutt City","Abduction, Harassment and Other Related Offences Against a Person",4
"136","Lower Hutt City","Acts Intended to Cause Injury",1121
"137","Lower Hutt City","Robbery, Extortion and Related Offences",91
"138","Lower Hutt City","Sexual Assault and Related Offences",72
"139","Lower Hutt City","Theft and Related Offences",3320
"140","Lower Hutt City","Unlawful Entry With Intent/Burglary, Break and Enter",848
"141","Mackenzie District","Acts Intended to Cause Injury",12
"142","Mackenzie District","Robbery, Extortion and Related Offences",1
"143","Mackenzie District","Sexual Assault and Related Offences",2
"144","Mackenzie District","Theft and Related Offences",34
"145","Mackenzie District","Unlawful Entry With Intent/Burglary, Break and Enter",15
"146","Manawatu District","Acts Intended to Cause Injury",197
"147","Manawatu District","Robbery, Extortion and Related Offences",13
"148","Manawatu District","Sexual Assault and Related Offences",12
"149","Manawatu District","Theft and Related Offences",514
"150","Manawatu District","Unlawful Entry With Intent/Burglary, Break and Enter",174
"151","Marlborough District","Abduction, Harassment and Other Related Offences Against a Person",3
"152","Marlborough District","Acts Intended to Cause Injury",240
"153","Marlborough District","Robbery, Extortion and Related Offences",19
"154","Marlborough District","Sexual Assault and Related Offences",46
"155","Marlborough District","Theft and Related Offences",631
"156","Marlborough District","Unlawful Entry With Intent/Burglary, Break and Enter",266
"157","Masterton District","Acts Intended to Cause Injury",294
"158","Masterton District","Robbery, Extortion and Related Offences",12
"159","Masterton District","Sexual Assault and Related Offences",14
"160","Masterton District","Theft and Related Offences",609
"161","Masterton District","Unlawful Entry With Intent/Burglary, Break and Enter",219
"162","Matamata-Piako District","Acts Intended to Cause Injury",211
"163","Matamata-Piako District","Robbery, Extortion and Related Offences",19
"164","Matamata-Piako District","Sexual Assault and Related Offences",32
"165","Matamata-Piako District","Theft and Related Offences",619
"166","Matamata-Piako District","Unlawful Entry With Intent/Burglary, Break and Enter",296
"167","Napier City","Abduction, Harassment and Other Related Offences Against a Person",4
"168","Napier City","Acts Intended to Cause Injury",758
"169","Napier City","Robbery, Extortion and Related Offences",52
"170","Napier City","Sexual Assault and Related Offences",52
"171","Napier City","Theft and Related Offences",1849
"172","Napier City","Unlawful Entry With Intent/Burglary, Break and Enter",664
"173","Nelson City","Abduction, Harassment and Other Related Offences Against a Person",6
"174","Nelson City","Acts Intended to Cause Injury",472
"175","Nelson City","Robbery, Extortion and Related Offences",24
"176","Nelson City","Sexual Assault and Related Offences",55
"177","Nelson City","Theft and Related Offences",887
"178","Nelson City","Unlawful Entry With Intent/Burglary, Break and Enter",253
"179","New Plymouth District","Abduction, Harassment and Other Related Offences Against a Person",2
"180","New Plymouth District","Acts Intended to Cause Injury",631
"181","New Plymouth District","Robbery, Extortion and Related Offences",45
"182","New Plymouth District","Sexual Assault and Related Offences",58
"183","New Plymouth District","Theft and Related Offences",1130
